query_id	subject_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	significance	genome
351492	10426	40.541	185	96	4	60	239	48	223	1.0699999999999999e-34	125.0	277	263	65.0	MEDIUM (likely homolog)	Chrpa1_1
414244	10426	41.221	131	69	4	1	125	92	220	4.9200000000000004e-26	99.4	162	263	77.0	MEDIUM (likely homolog)	Chrpa1_1
433098	9611	64.49	245	85	1	8	250	11	255	5.57e-118	338.0	267	276	91.0	HIGH (likely ortholog)	Chrpa1_1
70214	6385	59.149	235	96	0	1	235	61	295	4.77e-99	295.0	318	349	74.0	HIGH (likely ortholog)	Chrpa1_1
351492	177203	40.541	185	96	4	60	239	48	223	6.32e-35	125.0	277	263	65.0	MEDIUM (likely homolog)	Chrsp_1
414244	177203	41.221	131	69	4	1	125	92	220	2.9100000000000004e-26	99.4	162	263	77.0	MEDIUM (likely homolog)	Chrsp_1
433098	180751	64.49	245	85	1	8	250	11	255	3.3e-118	338.0	267	276	91.0	HIGH (likely ortholog)	Chrsp_1
70214	179137	59.149	235	96	0	1	235	131	365	2.41e-98	295.0	318	419	74.0	HIGH (likely ortholog)	Chrsp_1
351492	390416	99.638	276	1	0	1	276	1	276	0.0	572.0	277	276	99.0	VERY HIGH (likely ortholog)	Gepoce1
414244	376897	100.0	138	0	0	1	138	145	282	7.76e-99	286.0	162	310	85.0	VERY HIGH (likely ortholog)	Gepoce1
433098	371520	99.248	266	2	0	1	266	1	266	0.0	543.0	267	266	99.0	VERY HIGH (likely ortholog)	Gepoce1
70214	395117	99.685	317	1	0	1	317	371	687	0.0	654.0	318	687	99.0	VERY HIGH (likely ortholog)	Gepoce1
351492	1373135	83.846	260	42	0	1	260	1	260	2.3299999999999997e-170	471.0	277	274	94.0	VERY HIGH (likely ortholog)	IsochDm2_1
414244	1373135	53.247	154	66	3	1	148	107	260	1.9e-49	159.0	162	274	91.0	HIGH (likely ortholog)	IsochDm2_1
433098	1199263	85.944	249	35	0	11	259	11	259	5.0800000000000004e-163	452.0	267	263	93.0	VERY HIGH (likely ortholog)	IsochDm2_1
70214	976127	58.333	276	107	4	1	269	61	335	8.47e-107	315.0	318	359	85.0	HIGH (likely ortholog)	IsochDm2_1
351492	76576	83.846	260	42	0	1	260	1	260	1.15e-170	471.0	277	274	94.0	VERY HIGH (likely ortholog)	Isogal1
414244	76576	53.247	154	66	3	1	148	107	260	1.28e-49	160.0	162	274	91.0	HIGH (likely ortholog)	Isogal1
433098	86445	80.952	105	20	0	155	259	92	196	1.6e-60	189.0	267	200	70.0	HIGH (likely ortholog)	Isogal1
70214	76306	58.333	276	107	4	1	269	61	335	7.55e-107	315.0	318	359	85.0	HIGH (likely ortholog)	Isogal1
351492	3977047	99.638	276	1	0	1	276	1	276	0.0	572.0	277	276	99.0	VERY HIGH (likely ortholog)	Ochro3194_1
414244	3826524	98.758	161	2	0	1	161	13	173	3.19e-116	325.0	162	173	99.0	VERY HIGH (likely ortholog)	Ochro3194_1
433098	4105516	99.248	266	2	0	1	266	1	266	0.0	543.0	267	266	99.0	VERY HIGH (likely ortholog)	Ochro3194_1
70214	4110600	99.652	287	1	0	31	317	1	287	0.0	589.0	318	287	90.0	VERY HIGH (likely ortholog)	Ochro3194_1
351492	5504	35.111	225	111	8	60	274	65	264	9.020000000000001e-32	119.0	277	295	78.0	MEDIUM (likely homolog)	Phaglo1
414244	5504	36.029	136	82	3	1	132	109	243	3.92e-22	89.7	162	295	81.0	MEDIUM (likely homolog)	Phaglo1
433098	10876	67.059	255	81	2	15	266	24	278	1.19e-123	353.0	267	278	94.0	HIGH (likely ortholog)	Phaglo1
70214	25045	55.439	285	116	4	1	277	68	349	8.53e-95	286.0	318	406	87.0	HIGH (likely ortholog)	Phaglo1
351492	2382607	31.707	123	74	4	83	203	96	210	6.72e-10	58.5	277	283	44.0	MEDIUM (likely homolog)	Platy1217_1
414244	2382607	34.314	102	62	3	2	101	117	215	3.41e-10	57.0	162	283	62.0	MEDIUM (likely homolog)	Platy1217_1
433098	2382607	31.646	158	97	4	54	205	61	213	3.24e-10	59.3	267	283	57.0	MEDIUM (likely homolog)	Platy1217_1
70214	2353193	57.836	268	113	0	1	268	60	327	5.21e-103	305.0	318	335	84.0	HIGH (likely ortholog)	Platy1217_1
351492	10545	39.0	100	52	5	111	208	117	209	4.81e-10	58.5	277	264	35.0	LOW (possible homolog)	Pparv12B1_1_1
414244	3674	30.392	102	66	3	2	101	112	210	9.57e-08	49.7	162	278	62.0	MEDIUM (likely homolog)	Pparv12B1_1_1
433098	10545	56.693	254	106	3	9	258	8	261	4.51e-103	300.0	267	264	94.0	HIGH (likely ortholog)	Pparv12B1_1_1
70214	834	58.974	273	109	2	1	270	59	331	2.05e-97	291.0	318	350	85.0	HIGH (likely ortholog)	Pparv12B1_1_1
